item_id,Scope - Mechanics,unit_price_hardware,unit_price_service,unit_price_sum,Opt.,qty,unit,total_price,comments,E,K,O,item_id_norm,Scope - Mechanics_norm,Opt._norm,unit_norm,comments_norm,E_norm,K_norm,O_norm,scope_category,vendor_id
10.,"Total Price: 
",,,,,,,0.0,,,,,10.,total price:,,,,,,,ATS Mechanics v2,B
,,,,,,,,,,,,,,,,,,,,,ATS Mechanics v2,B
11.,,,,,,,,,,,,,11.,,,,,,,,ATS Mechanics v2,B
11.1,,,,0.0,,,,0.0,,,,,11.1,,,,,,,,ATS Mechanics v2,B
11.2,,,,0.0,,,,0.0,,,,,11.2,,,,,,,,ATS Mechanics v2,B
11.3,,,,0.0,,,,0.0,,,,,11.3,,,,,,,,ATS Mechanics v2,B
11.4,,,,0.0,,,,0.0,,,,,11.4,,,,,,,,ATS Mechanics v2,B
11.5,,,,0.0,,,,0.0,,,,,11.5,,,,,,,,ATS Mechanics v2,B
11.6,,,,0.0,,,,0.0,,,,,11.6,,,,,,,,ATS Mechanics v2,B
11.7,,,,0.0,,,,0.0,,,,,11.7,,,,,,,,ATS Mechanics v2,B
11.8,,,,0.0,,,,0.0,,,,,11.8,,,,,,,,ATS Mechanics v2,B
11.9,,,,0.0,,,,0.0,,,,,11.9,,,,,,,,ATS Mechanics v2,B
11.10,,,,0.0,,,,0.0,,,,,11.10,,,,,,,,ATS Mechanics v2,B
11.11,,,,0.0,,,,0.0,,,,,11.11,,,,,,,,ATS Mechanics v2,B
11.12,,,,0.0,,,,0.0,,,,,11.12,,,,,,,,ATS Mechanics v2,B
11.13,,,,0.0,,,,0.0,,,,,11.13,,,,,,,,ATS Mechanics v2,B
11.14,,,,0.0,,,,0.0,,,,,11.14,,,,,,,,ATS Mechanics v2,B
11.15,,,,0.0,,,,0.0,,,,,11.15,,,,,,,,ATS Mechanics v2,B
11.16,,,,0.0,,,,0.0,,,,,11.16,,,,,,,,ATS Mechanics v2,B
11.17,,,,0.0,,,,0.0,,,,,11.17,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,,,,,,,,,,,,,,,,,,ATS Mechanics v2,B
11.,"Total Price: 
",,,,,,,0.0,,,,,11.,total price:,,,,,,,ATS Mechanics v2,B
,,,,,,,,,,,,,,,,,,,,,ATS Mechanics v2,B
12.,,,,,,,,,,,,,12.,,,,,,,,ATS Mechanics v2,B
12.1,,,,0.0,,,,0.0,,,,,12.1,,,,,,,,ATS Mechanics v2,B
12.2,,,,0.0,,,,0.0,,,,,12.2,,,,,,,,ATS Mechanics v2,B
12.3,,,,0.0,,,,0.0,,,,,12.3,,,,,,,,ATS Mechanics v2,B
12.4,,,,0.0,,,,0.0,,,,,12.4,,,,,,,,ATS Mechanics v2,B
12.5,,,,0.0,,,,0.0,,,,,12.5,,,,,,,,ATS Mechanics v2,B
12.6,,,,0.0,,,,0.0,,,,,12.6,,,,,,,,ATS Mechanics v2,B
12.7,,,,0.0,,,,0.0,,,,,12.7,,,,,,,,ATS Mechanics v2,B
12.8,,,,0.0,,,,0.0,,,,,12.8,,,,,,,,ATS Mechanics v2,B
12.9,,,,0.0,,,,0.0,,,,,12.9,,,,,,,,ATS Mechanics v2,B
12.10,,,,0.0,,,,0.0,,,,,12.10,,,,,,,,ATS Mechanics v2,B
12.11,,,,0.0,,,,0.0,,,,,12.11,,,,,,,,ATS Mechanics v2,B
12.12,,,,0.0,,,,0.0,,,,,12.12,,,,,,,,ATS Mechanics v2,B
12.13,,,,0.0,,,,0.0,,,,,12.13,,,,,,,,ATS Mechanics v2,B
12.14,,,,0.0,,,,0.0,,,,,12.14,,,,,,,,ATS Mechanics v2,B
12.15,,,,0.0,,,,0.0,,,,,12.15,,,,,,,,ATS Mechanics v2,B
